path,registered_in_modules,classification,proposed_decision
admin/dashboard.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/forgot_password.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/index.php,N,بنية,"ليست شاشة"
admin/login.php,N,بنية,"ليست شاشة"
admin/logout.php,N,بنية,"ليست شاشة"
admin/managers.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/ops_manager_board.php,Y,"شاشة مسجَّلة",تبقى
admin/org_assignments.php,Y,"شاشة مسجَّلة",تبقى
admin/org_permits.php,Y,"شاشة مسجَّلة",تبقى
admin/org_structure.php,Y,"شاشة مسجَّلة",تبقى
admin/perm_system.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/plans.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/reports_permissions.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/reset_password.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/sec_employee_wizard.php,Y,"شاشة مسجَّلة",تبقى
admin/sec_governance.php,Y,"شاشة مسجَّلة",تبقى
admin/settings.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/setup_once.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/update_permission_quick.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
main/all_assistants.php,Y,"شاشة مسجَّلة",تبقى
main/check_username_availability.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
main/dashboard.php,Y,"شاشة مسجَّلة",تبقى
main/global_search.php,Y,"شاشة مسجَّلة",تبقى
main/my_workspace.php,Y,"شاشة مسجَّلة",تبقى
main/profile.php,Y,"شاشة مسجَّلة",تبقى
main/project_users.php,Y,"شاشة مسجَّلة",تبقى
main/role_board.php,Y,"شاشة مسجَّلة",تبقى
main/soon.php,Y,"شاشة مسجَّلة",تبقى
main/user_profile.php,Y,"شاشة مسجَّلة",تبقى
main/users.php,Y,"شاشة مسجَّلة",تبقى
Financing/asset_disposal.php,Y,"شاشة مسجَّلة",تبقى
Financing/cost_allocation.php,Y,"شاشة مسجَّلة",تبقى
Financing/deviations.php,Y,"شاشة مسجَّلة",تبقى
Financing/fin_changes.php,Y,"شاشة مسجَّلة",تبقى
Financing/fin_models.php,Y,"شاشة مسجَّلة",تبقى
Financing/financiers_registry.php,Y,"شاشة مسجَّلة",تبقى
Financing/financing_board.php,Y,"شاشة مسجَّلة",تبقى
Financing/financing_operation_new.php,Y,"شاشة مسجَّلة",تبقى
Financing/gov_dept_cap.php,Y,"شاشة مسجَّلة",تبقى
Financing/installments.php,Y,"شاشة مسجَّلة",تبقى
Financing/operation_profile.php,Y,"شاشة مسجَّلة",تبقى
Financing/owners_registry.php,Y,"شاشة مسجَّلة",تبقى
Financing/ownership_links.php,Y,"شاشة مسجَّلة",تبقى
clients/activities.php,Y,"شاشة مسجَّلة",تبقى
clients/client_profile.php,Y,"شاشة مسجَّلة",تبقى
clients/clients.php,Y,"شاشة مسجَّلة",تبقى
clients/commercial_risks.php,Y,"شاشة مسجَّلة",تبقى
clients/contract_amendments.php,Y,"شاشة مسجَّلة",تبقى
clients/contract_commitments.php,Y,"شاشة مسجَّلة",تبقى
clients/contract_events.php,Y,"شاشة مسجَّلة",تبقى
clients/pricelists.php,Y,"شاشة مسجَّلة",تبقى
clients/products.php,Y,"شاشة مسجَّلة",تبقى
clients/quotations.php,Y,"شاشة مسجَّلة",تبقى
clients/rate_books.php,Y,"شاشة مسجَّلة",تبقى
clients/readiness_lines.php,Y,"شاشة مسجَّلة",تبقى
clients/tenders.php,Y,"شاشة مسجَّلة",تبقى
clients/units_of_measure.php,Y,"شاشة مسجَّلة",تبقى
projects/oprationprojects.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
projects/project_mines.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
projects/project_profile.php,Y,"شاشة مسجَّلة",تبقى
projects/projects.php,Y,"شاشة مسجَّلة",تبقى
projects/sites.php,Y,"شاشة مسجَّلة",تبقى
Employees/employee_card.php,Y,"شاشة مسجَّلة",تبقى
Employees/employee_contract_actions_handler.php,N,معالج/كرون/مساعد,"ليست شاشة"
Employees/employee_contracts.php,Y,"شاشة مسجَّلة",تبقى
Employees/employee_contracts_details.php,Y,"شاشة مسجَّلة",تبقى
Employees/employee_equipment_history.php,Y,"شاشة مسجَّلة",تبقى
Employees/employee_profile.php,Y,"شاشة مسجَّلة",تبقى
Employees/employee_roles.php,Y,"شاشة مسجَّلة",تبقى
Employees/employees.php,Y,"شاشة مسجَّلة",تبقى
Employees/equipment_operators.php,Y,"شاشة مسجَّلة",تبقى
Employees/get_employee_contract_equipments.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Employees/get_employee_data.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Employees/get_mine_contracts.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Employees/get_project_hours.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Employees/job_titles.php,Y,"شاشة مسجَّلة",تبقى
Employees/showcontractemployee.php,Y,"شاشة مسجَّلة",تبقى
reports/approval_lag_report.php,Y,"شاشة مسجَّلة",تبقى
reports/contract_report.php,Y,"شاشة مسجَّلة",تبقى
reports/contractall.php,Y,"شاشة مسجَّلة",تبقى
reports/daily_units_report.php,Y,"شاشة مسجَّلة",تبقى
reports/deliy.php,Y,"شاشة مسجَّلة",تبقى
reports/deriver.php,Y,"شاشة مسجَّلة",تبقى
reports/driverAndsupplerscontract.php,Y,"شاشة مسجَّلة",تبقى
reports/equipments_reports.php,Y,"شاشة مسجَّلة",تبقى
reports/exceptions_report.php,Y,"شاشة مسجَّلة",تبقى
reports/get_mine_contracts.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
reports/guard_denials_report.php,Y,"شاشة مسجَّلة",تبقى
reports/margin_report.php,Y,"شاشة مسجَّلة",تبقى
reports/new_reports.php,Y,"شاشة مسجَّلة",تبقى
reports/projects_reports.php,Y,"شاشة مسجَّلة",تبقى
reports/reports.php,Y,"شاشة مسجَّلة",تبقى
reports/timesheet_reports.php,Y,"شاشة مسجَّلة",تبقى
reports/timesheetdeliy.php,Y,"شاشة مسجَّلة",تبقى
Portal/approvals_inbox.php,Y,"شاشة مسجَّلة",تبقى
Portal/business_models.php,Y,"شاشة مسجَّلة",تبقى
Portal/ceo_approvals.php,Y,"شاشة مسجَّلة",تبقى
Portal/ceo_assignments.php,Y,"شاشة مسجَّلة",تبقى
Portal/ceo_audit_reports.php,Y,"شاشة مسجَّلة",تبقى
Portal/ceo_board.php,Y,"شاشة مسجَّلة",تبقى
Portal/ceo_contracts.php,Y,"شاشة مسجَّلة",تبقى
Portal/ceo_reports.php,Y,"شاشة مسجَّلة",تبقى
Portal/ceo_risk.php,Y,"شاشة مسجَّلة",تبقى
Portal/contract_review.php,Y,"شاشة مسجَّلة",تبقى
Portal/dept_achievement.php,Y,"شاشة مسجَّلة",تبقى
Portal/dept_board.php,Y,"شاشة مسجَّلة",تبقى
Portal/founding_mode.php,Y,"شاشة مسجَّلة",تبقى
Portal/gov_dept_ceo.php,Y,"شاشة مسجَّلة",تبقى
Portal/journey_action.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Portal/my_achievement.php,Y,"شاشة مسجَّلة",تبقى
Portal/my_certificate.php,Y,"شاشة مسجَّلة",تبقى
Portal/my_evaluation.php,Y,"شاشة مسجَّلة",تبقى
Portal/my_kpi.php,Y,"شاشة مسجَّلة",تبقى
Portal/my_portal.php,Y,"شاشة مسجَّلة",تبقى
Portal/my_requests.php,Y,"شاشة مسجَّلة",تبقى
Portal/my_tasks.php,Y,"شاشة مسجَّلة",تبقى
Portal/notifications.php,Y,"شاشة مسجَّلة",تبقى
Portal/portal_elements.php,Y,"شاشة مسجَّلة",تبقى
Portal/project_charter.php,Y,"شاشة مسجَّلة",تبقى
Portal/release_stamp.php,Y,"شاشة مسجَّلة",تبقى
Portal/visibility_audit.php,Y,"شاشة مسجَّلة",تبقى
Portal/visibility_keys.php,Y,"شاشة مسجَّلة",تبقى
Portal/visibility_simulator.php,Y,"شاشة مسجَّلة",تبقى
Portal/workspace.php,Y,"شاشة مسجَّلة",تبقى
Settings/settings.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
ActivityLogs/activity_logs.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Opportunities/opportunities.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Settings/role_permissions.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Settings/roles.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
user_capacities.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Settings/guard_classification.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Settings/modules.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
chats/index.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
emsreports/index.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Settings/change_password.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_board.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_register.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_card.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_signals.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_controls.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_kris.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_appetite.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_treatments.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_reviews.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/dept_risk_space.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_units.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_assessment.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_control_verify.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_acceptance.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_incidents.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_committee.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_reports.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_settings.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_field.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/gov_dept_rsk.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_fin.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_gov.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_charter.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_independence.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_universe.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_plan.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_engagements.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_workpapers.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_findings.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_responses.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_action_plans.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_closure.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_escalations.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_reports.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_access_log.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_competencies.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_authorities.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Audit/iaf_quality.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_cap.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_crp.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_flt.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_hrm.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_inv.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_mnt.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_ops.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_prc.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_sit.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_trp.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_wrk.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
Risk/risk_dept_ceo.php,Y,"★موديول بلا ملف على القرص","★أرشفة أو تصحيح مسار"
