الإدارة,الشاشة,المسار,المصدر,الحكم
الموردون,"عقود الموردين",Suppliers/supplierscontracts.php,"قائمٌ — منفَّذ",move:to-role-2
الموردون,"قواعد تحميل المورد وجزاءاته",Suppliers/supplier_rules.php,"قائمٌ — منفَّذ",revive:role-2
الموردون,"كشف حساب المورد",Finance/supplier_statement_fin.php,"قائمٌ — منفَّذ",revive:role-2
الموردون,"مشرفو الموردين",main/project_users.php,"قائمٌ — منفَّذ",move:to-role-2
الموردون,"وثائق المورد وحسابه البنكي",Suppliers/supplier_documents.php,"قائمٌ — منفَّذ",revive:role-2
الموردون,"اعتماد الوحدات التشغيلية",Approvals/hours_approval.php,"قائمٌ — منفَّذ",ok:placed
الموردون,"بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
الموردون,"المدفوعات والخزينة",Finance/payments_fin.php,"قائمٌ — منفَّذ",ok:placed
الموردون,"تسويات الموردين",Suppliers/settlements.php,"قائمٌ — منفَّذ",move:to-role-2
الموردون,"ميزانية إدارتي",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-2
الموردون,"مركز التقارير",Reports/reports.php,"قائمٌ — منفَّذ",ok:placed
الموردون,"تعرفة الترحيل وتسعير الأوامر",Transport/transfer_tariffs.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","لوحة الإدارة",main/role_board.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","احتياج القوى والتخطيط",Workforce/workforce_requirement.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","الإجازات والغياب",Workforce/worker_leave_absence.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","دورة التوظيف",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"الموارد البشرية",الإعدادات,Settings/settings.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","السكن والإعاشة",Workforce/housing_units.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","المشغّلون والسائقون",Employees/equipment_operators.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية",الموظفون,Employees/employees.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","تسويات الموظفين",Workforce/employee_settlements.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","تصفية إنهاء خدمة الموظف",Workforce/final_settlement.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","تقييم الأداء",Workforce/worker_evaluation.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","تنقلات العاملين",Workforce/worker_movement.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","سلفيات الموظفين",Workforce/employee_advances.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","عقود العاملين",Workforce/worker_contract.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","فريق الإدارة والتكليفات",main/project_users.php,"قائمٌ — منفَّذ",move:to-role-4
"الموارد البشرية","ملف العامل التشغيلي",Workforce/worker_register.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","وثائق المعدات والمشغّلين",Equipments/equipment_documents.php,"قائمٌ — منفَّذ",move:to-role-4
"الموارد البشرية","سجل العقود الموحّد",Workforce/contract_registry.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","اعتماد الوحدات التشغيلية",Approvals/hours_approval.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","الخصوم المقترحة",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"الموارد البشرية","الذمم والتحصيل",Finance/dues_fin.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
"الموارد البشرية","تسويات العاملين",Workforce/worker_settlement.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","مسيّر الرواتب",Workforce/payroll_runs.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","ميزانية إدارتي",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-4
"الموارد البشرية","مركز التقارير",Reports/reports.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","سجل الأحداث التشغيلية",Workforce/worker_worklog.php,"قائمٌ — منفَّذ",move:to-role-4
"الموارد البشرية","الأدوار الوظيفية",Employees/employee_roles.php,"قائمٌ — منفَّذ",ok:placed
"الموارد البشرية","المسميات الوظيفية",Employees/job_titles.php,"قائمٌ — منفَّذ",ok:placed
"الحوكمة والالتزام","لوحة الإدارة",main/role_board.php,"قائمٌ — منفَّذ",ok:placed
"الحوكمة والالتزام","مكوّنات البوابة وإنجازي",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"الحوكمة والالتزام","من يرى ماذا (محاكاة)",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"الحوكمة والالتزام","إدارة المستخدمين",main/users.php,"قائمٌ — منفَّذ",ok:placed
"الحوكمة والالتزام","فريق الإدارة والتكليفات",main/all_assistants.php,"قائمٌ — منفَّذ",ok:placed
"الحوكمة والالتزام","مركز الحوكمة والالتزام",admin/sec_governance.php,"قائمٌ — منفَّذ",ok:placed
"الحوكمة والالتزام","معالج إعداد الموظف",admin/sec_employee_wizard.php,"قائمٌ — منفَّذ",ok:placed
"الحوكمة والالتزام","سجل التكليفات والإنابات",main/project_users.php,"قائمٌ — منفَّذ",move:to-role-15
"الحوكمة والالتزام","بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
"الحوكمة والالتزام","المراجعة الدورية للصلاحيات",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"الحوكمة والالتزام","ميزانية إدارتي",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-15
"الحوكمة والالتزام","لماذا يملك فلانٌ هذه الصلاحية؟",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"مركز البلاغات","برج المراقبة والمؤشرات",Tickets/watchtower.php,"قائمٌ — منفَّذ",ok:placed
"مركز البلاغات","لوحة الإدارة",main/role_board.php,"قائمٌ — منفَّذ",ok:placed
"مركز البلاغات","لوحة المسارات المتوازية",Tickets/ticket_workstreams_board.php,"قائمٌ — منفَّذ",ok:placed
"مركز البلاغات","الاستفسار عن بلاغٍ متعثر",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"مركز البلاغات","الاستقبال والتصنيف",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"مركز البلاغات",البلاغات,Tickets/tickets_list.php,"قائمٌ — منفَّذ",ok:placed
"مركز البلاغات","البلاغات الدورية",Tickets/ticket_recurrence.php,"قائمٌ — منفَّذ",ok:placed
"مركز البلاغات","تصنيفات الأعطال والبلاغات",Tickets/ticket_categories_config.php,"قائمٌ — منفَّذ",ok:placed
"مركز البلاغات","الإغلاق الإداري",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"مركز البلاغات","ميزانية إدارتي",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-24
"مركز البلاغات","أداء البلاغات",Tickets/ticket_dashboard.php,"قائمٌ — منفَّذ",ok:placed
"مركز البلاغات","تقرير من يتأخر ومن لا يستجيب",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"مركز البلاغات","أزمنة الاستجابة والإنجاز",Tickets/ticket_sla_config.php,"قائمٌ — منفَّذ",ok:placed
"مركز البلاغات","إعداد أنواع البلاغات",Tickets/ticket_types_config.php,"قائمٌ — منفَّذ",ok:placed
"مركز البلاغات","سلّم التصعيد",Tickets/ticket_escalation_config.php,"قائمٌ — منفَّذ",ok:placed
"مساحة عملي","طلب مالي جديد",FinRequests/request_form.php,"قائمٌ — منفَّذ",workspace-ok
"مساحة عملي","طلباتي المالية",FinRequests/my_requests.php,"قائمٌ — منفَّذ",workspace-ok
"مساحة عملي",إنجازي,,"★ جديدٌ — مطلوبٌ للبناء",build:workspace
"مساحة عملي",المراسلات,chats/index.php,"قائمٌ — منفَّذ",workspace-ok
"مساحة عملي",بلاغاتي,,"★ جديدٌ — مطلوبٌ للبناء",build:workspace
"مساحة عملي",بوابتي,,"★ جديدٌ — مطلوبٌ للبناء",build:workspace
"مساحة عملي","مساحة عملي",main/my_workspace.php,"قائمٌ — منفَّذ",workspace-ok
"مساحة عملي","موافقات إدارتي",FinRequests/dept_inbox.php,"قائمٌ — منفَّذ",workspace-ok
"المشغّلون والقوى التشغيلية","ميزانية إدارتي",Finance/budget_dept.php,"★ جديدٌ — مطلوبٌ للبناء",build:new
