الشاشة,الملف,الإدارة,الطبيعة,أفعال اعتماد,أفعال كتابة,الأعمدة اللازمة,الحالة
حسابات بوابة الأطراف الخارجية,portal_users.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
دورة المراجعة الدورية للصلاحيات,access_review.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل أنواع المستندات,doc_types.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل الأسماء المعتمدة,canonical_names.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل التدقيق والاطّلاع,audit.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل الشركات والكيانات,entities.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل العقود الموحَّد,contract_registry.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سياسات الحقول الحساسة,sensitive_fields.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
صفحات النظام والإدارات,modules.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
صلاحية الطوارئ اللحظية (كسر الزجاج),break_glass.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
صندوق ما ينتظر اعتمادي,approvals_inbox.php,الحوكمة والالتزام,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
طلبات الاستثناء,exceptions.php,الحوكمة والالتزام,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
علاقات الملكية بين الكيانات,ownership_links.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
فصل الواجبات المتعارضة,sec_governance.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
مركز التقارير,reports_index.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,لا,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
من يرى ماذا ومكوّنات البوابة,visibility.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
وضع التأسيس وإغلاقه,founding_mode.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أبلغ عن مشكلة من هذه الشاشة,ticket_open.php,مركز البلاغات,سجلٌّ أو إعداد,لا,لا,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
إعدادات البلاغات — الأنواع والمهل والتصعيد,ticket_config.php,مركز البلاغات,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
إغلاق البلاغ وتأكيده,ticket_close.php,مركز البلاغات,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
البلاغات الدورية المولَّدة,ticket_periodic.php,مركز البلاغات,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
البلاغات المتكررة وسببها الجذري,ticket_recur.php,مركز البلاغات,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
بلاغات إدارتي,tickets_dept.php,مركز البلاغات,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
بلاغات المركز,tickets.php,مركز البلاغات,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تحويل البلاغ وتفريعه لمسارات,ticket_split.php,مركز البلاغات,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تصنيف البلاغ وتوجيهه آليًّا,ticket_route.php,مركز البلاغات,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
مؤشرات البلاغات,ticket_kpi.php,مركز البلاغات,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
مهل البلاغات وتصعيدها,ticket_escalate.php,مركز البلاغات,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أوامر الصيانة,orders.php,إدارة الصيانة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الفحص الفني اليومي,inspections.php,إدارة الصيانة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الورش والفنيون,workshop.php,إدارة الصيانة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تصنيف الأعطال وأسبابها,failures.php,إدارة الصيانة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
جاهزية المعدات للتشغيل,readiness.php,إدارة الصيانة,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
خطط الصيانة الوقائية,preventive.php,إدارة الصيانة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أرقام المشغّلين الشاغرة,op_codes.php,القوى التشغيلية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الأداء الشهري للمشغّل,op_monthly.php,القوى التشغيلية,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
السكن والإعاشة والمعسكرات,housing_units.php,القوى التشغيلية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تأهيل المشغّلين على أنواع المعدات,op_qual.php,القوى التشغيلية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تكليف المشغّل على المعدة,op_assign.php,القوى التشغيلية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تنقلات العاملين,worker_movement.php,القوى التشغيلية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
خصومات المشغّلين المقترحة,op_deduct.php,القوى التشغيلية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
دورات التناوب والإجازة الميدانية,rotation.php,القوى التشغيلية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل المشغّلين,operators.php,القوى التشغيلية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أوامر الترحيل,transfer_ord.php,النقل والترحيل,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
إقفال الأمر وتحميل تكلفته,transfer_cost.php,النقل والترحيل,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
اللوابد والمركبات الناقلة,transfer_fleet.php,النقل والترحيل,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تصاريح المسار والحمولة,transfer_permits.php,النقل والترحيل,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تعرفة الترحيل وقواعد التحميل,transfer_tariff.php,النقل والترحيل,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
طلبات الترحيل,transfer_req.php,النقل والترحيل,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
متابعة الرحلات في الطريق,transfer_track.php,النقل والترحيل,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أوامر الشراء,po.php,إدارة المشتريات التشغيلية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
طلب العروض ومقارنتها,rfq.php,إدارة المشتريات التشغيلية,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
طلبات الشراء,pr.php,إدارة المشتريات التشغيلية,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
مطابقة الفاتورة بالأمر والاستلام,po_match.php,إدارة المشتريات التشغيلية,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
أرصدة المخزون بحالاتها,stock.php,إدارة المخازن,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
استهلاك المعدة ومعدله,consumption_rate.php,إدارة المخازن,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الاستلام المؤقت قبل الإدخال,wh_receipt.php,إدارة المخازن,سجلٌّ أو إعداد,لا,لا,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
التحويل بين المخازن,wh_transfer.php,إدارة المخازن,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الجرد ومعالجة الفروقات,wh_count.php,إدارة المخازن,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
العهد والمرتجعات,custody.php,إدارة المخازن,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
المخازن وأنواعها,warehouses.php,إدارة المخازن,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
صرف مواد من المخزن,issue.php,إدارة المخازن,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
كتالوج الأصناف والقطع الحرجة,items.php,إدارة المخازن,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أذون الزيارة والمركبات الخارجية,org_permits.php,إدارة الموقع,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أذون دخول وخروج المشغّلين,site_gate_person.php,إدارة الموقع,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أذون دخول وخروج المعدات,site_gate_equip.php,إدارة الموقع,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الإنتاج والقياس,production.php,إدارة الموقع,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تسجيل التايم شيت والإنتاج,timesheet.php,إدارة الموقع,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
جدول الورديات — النهار والليل,site_shift_plan.php,إدارة الموقع,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
جدول عمل المنجم — الأسبوعي والشهري,site_work_calendar.php,إدارة الموقع,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
خطة عمل الغد,daily_plan.php,إدارة الموقع,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
سجل الوردية,shift_log.php,إدارة الموقع,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
إنجازي,my_achievement.php,مساحة عملي,قارئة,لا,لا,"الكيانُ وحدَه",معتمد — بتفويض المالك 2026-08-06
المراسلات,messages.php,مساحة عملي,سجلٌّ أو إعداد,لا,لا,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
بوابتي,my_portal.php,مساحة عملي,قارئة,لا,لا,"الكيانُ وحدَه",معتمد — بتفويض المالك 2026-08-06
تغيير كلمة المرور,change_password.php,مساحة عملي,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تقييمي,my_evaluation.php,مساحة عملي,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
شهادة إنجازي,my_certificate.php,مساحة عملي,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
صفاتي والتبديل بينها,user_capacities.php,مساحة عملي,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
طلباتي,my_requests.php,مساحة عملي,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
ملفي الشخصي,profile.php,مساحة عملي,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
مهامي,my_tasks.php,مساحة عملي,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
