المسار,الاسم,"الإجراءُ المطلوب",الحالة,تفصيل
Transport/transfer_order_form.php,"أمر الترحيل","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Transport/transfer_orders_list.php,"أوامر الترحيل","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Transport/transfer_requests.php,"موافقات الترحيل","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Transport/transfer_tariffs.php,"تعرفة الترحيل وتسعير الأوامر","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Transport/transfer_types_config.php,"إعدادات الترحيل","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Transport/trs_locations_config.php,المواقع,"إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/contract_registry.php,"سجل العقود الموحّد","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/employee_advances.php,"سلفيات الموظفين","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/employee_settlements.php,"تسويات الموظفين","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/final_settlement.php,"تصفية إنهاء خدمة الموظف","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/housing_units.php,"السكن والإعاشة","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/payroll_runs.php,"مسيّر الرواتب","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/worker_contract.php,"عقود العاملين","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/worker_evaluation.php,"تقييم الأداء","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/worker_leave_absence.php,"الإجازات والغياب","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/worker_movement.php,"تنقلات العاملين","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/worker_register.php,"السجل التشغيلي للعامل","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Workforce/worker_settlement.php,"تسويات العاملين","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Workforce/worker_worklog.php,"سجل الأحداث التشغيلية","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Workforce/workforce_requirement.php,"احتياج القوى والتخطيط","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
admin/ops_manager_board.php,"لوحة مدير التشغيل","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
admin/org_assignments.php,"التكليفات التنظيمية","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
admin/org_permits.php,"أذونات المواقع","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
admin/org_structure.php,"الهيكل التنظيمي","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
admin/sec_employee_wizard.php,"معالج إعداد الموظف","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
admin/sec_governance.php,"مركز حوكمة الصلاحيات","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
chats/index.php,"المراسلات الداخلية","نقلٌ إلى مساحة عملي",applied,move:workspace
emsreports/index.php,"مركز التقارير","دمجٌ — اسمٌ مكرر",applied,merge:dup_name
main/all_assistants.php,المعاونون,"إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
main/dashboard.php,"الرئيسية (لوحة التحكم)","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
main/my_workspace.php,"مساحة عملي","نقلٌ إلى مساحة عملي",applied,move:workspace
main/profile.php,"الملف الشخصي","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
main/project_users.php,"مشرفو الموردين","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
main/role_board.php,"لوحة الدور","نقلٌ إلى مساحة عملي",applied,move:workspace
main/user_profile.php,"بطاقة المستخدم","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
main/users.php,الصلاحيات,"إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
movement/add_drivers.php,"إدارة مشغلي المعدة","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
movement/client_tree.php,"شجرة العميل","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
movement/map_page.php,"متابعة المشروع","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
movement/move_oprators.php,"التشغيل (النسخة المحسّنة)","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
movement/movement_operations.php,الورديات,"إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
movement/project_drivers.php,"توزيع المشغّلين","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
user_capacities.php,"صفاتي ومبدّل المساحة","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
Tickets/dept_inbox.php,"—  (غير موجود)","**إنشاءٌ — عنصرٌ إلزاميٌّ ناقص**",applied,"create:بلاغات إدارتي"
