"اسم الملف",العنوان,ظهورات,الإدارات,التكييف,"المرشَّح البديل",الدليل,الثقة
po.php,"أوامر الشراء",2,"إدارة المشتريات التشغيلية · إدارة المخازن",IMPLEMENTED_UNDER_OTHER_ROUTE,Procurement/orders_proc.php,"التسميةُ «أوامر الشراء» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
pr.php,"طلبات الشراء",4,"إدارة التشغيل · إدارة الصيانة · إدارة المشتريات التشغيلية · إدارة المخازن",IMPLEMENTED_UNDER_OTHER_ROUTE,Procurement/requests_proc.php,"التسميةُ «طلبات الشراء» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
preventive.php,"خطط الصيانة الوقائية",2,"إدارة الأسطول · إدارة الصيانة",IMPLEMENTED_UNDER_OTHER_ROUTE,Maintenance/preventive_plans.php,"التسميةُ «خطط الصيانة الوقائية» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
price_adjust.php,"آليات تعديل السعر",1,"المبيعات والعقود",IMPLEMENTED_UNDER_OTHER_ROUTE,Contracts/price_terms.php,"التسميةُ «آليات تعديل السعر» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
quota_ledger.php,"دفتر استهلاك حصص الموردين",1,"إدارة الموردين",IMPLEMENTED_UNDER_OTHER_ROUTE,Suppliers/shares_coverage.php,"التسميةُ «دفتر استهلاك حصص الموردين» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
readiness.php,"جاهزية المعدات للتشغيل",3,"إدارة الأسطول · إدارة التشغيل · إدارة الصيانة",IMPLEMENTED_UNDER_OTHER_ROUTE,Fleet/readiness_board.php,"التسميةُ «جاهزية المعدات للتشغيل» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
receivables.php,"ذمم العملاء وأعمارها",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Contracts/collections.php,"التسميةُ «ذمم العملاء وأعمارها» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
recruitment.php,"التوظيف من الشاغر إلى المباشرة",2,"الموارد البشرية · القوى التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Workforce/recruitment_pipeline.php,"التسميةُ «التوظيف من الشاغر إلى المباشرة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
reports_index.php,"مركز التقارير",12,"الحوكمة والالتزام · المالية والخزينة · الموارد البشرية · التمويل والملكية · إدارة الأسطول · إدارة التشغيل · إدارة الصيانة · إدارة المشتريات التشغيلية · إدارة المخازن · النقل والترحيل · القوى التشغيلية · مركز البلاغات",IMPLEMENTED_UNDER_OTHER_ROUTE,Reports/reports.php,"التسميةُ «مركز التقارير» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
rfq.php,"طلب العروض ومقارنتها",1,"إدارة المشتريات التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Procurement/rfq_compare_award.php,"التسميةُ «طلب العروض ومقارنتها» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
risk_dashboard.php,"لوحة المخاطر المؤسسية",1,"إدارة المخاطر المؤسسية",IMPLEMENTED_UNDER_OTHER_ROUTE,Risk/risk_board.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
risk_dept_iaf.php,"مخاطر المراجعة الداخلية",1,"المراجع الداخلي المستقل",IMPLEMENTED_UNDER_OTHER_ROUTE,Portal/ceo_audit_reports.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
risk_dept_view.php,"مخاطر الإدارة",1,"إدارة المخاطر المؤسسية",IMPLEMENTED_UNDER_OTHER_ROUTE,Risk/dept_risk_space.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
risk_kri.php,"مؤشرات المخاطر والضوابط",1,"إدارة المخاطر المؤسسية",REQUIRED_AND_MISSING,Portal/ceo_risk.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
risk_profile.php,"ملف الخطر",1,"إدارة المخاطر المؤسسية",IMPLEMENTED_UNDER_OTHER_ROUTE,Risk/risk_card.php,"التسميةُ «ملف الخطر» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
risk_treatment.php,"إجراءات المعالجة",1,"إدارة المخاطر المؤسسية",IMPLEMENTED_UNDER_OTHER_ROUTE,Risk/risk_treatments.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
shares.php,"حصص الملكية في الأصول",2,"التمويل والملكية · إدارة الأسطول",IMPLEMENTED_UNDER_OTHER_ROUTE,Financing/owners_registry.php,"التسميةُ «حصص الملكية في الأصول» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
shift_metrics.php,"مؤشرات الورديات المشتقة",1,"إدارة الموقع",REQUIRED_AND_MISSING,movement/update_operation_shift_type.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
site_acc_board.php,"لوحة محاسب الموقع",1,"إدارة الموقع",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/cfo_daily_board_fin.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
site_custody.php,"عهدة الموقع والصرف منها",1,"إدارة الموقع",IMPLEMENTED_UNDER_OTHER_ROUTE,Procurement/issue_proc.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
site_custody_settle.php,"تصفية العهدة",1,"إدارة الموقع",REQUIRED_AND_MISSING,Operations/site_gate_equip.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
site_custody_spend.php,"صرف مشتريات ميدانية من العهدة",1,"إدارة الموقع",IMPLEMENTED_UNDER_OTHER_ROUTE,Procurement/issue_proc.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
standby_decide.php,"قرار الاستعداد أو التعطل",1,"إدارة الموقع",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
stock.php,"أرصدة المخزون بحالاتها",5,"المالية والخزينة · إدارة التشغيل · إدارة الصيانة · إدارة المشتريات التشغيلية · إدارة المخازن",IMPLEMENTED_UNDER_OTHER_ROUTE,Procurement/stock_proc.php,"التسميةُ «أرصدة المخزون بحالاتها» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
stops.php,"التوقفات وتحديد المتحمل",1,"إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Operations/stops_unattributed.php,"التسميةُ «التوقفات وتحديد المتحمل» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
supplier_contracts.php,"عقود الموردين",1,"إدارة الموردين",IMPLEMENTED_UNDER_OTHER_ROUTE,Suppliers/supplierscontracts.php,"التسميةُ «عقود الموردين» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
supplier_equip.php,"معدات المورد ومالكوها",1,"إدارة الموردين",IMPLEMENTED_UNDER_OTHER_ROUTE,Suppliers/equipment_plan.php,"التسميةُ «معدات المورد ومالكوها» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
supplier_perf.php,"أداء الموردين وجاهزيتهم",1,"إدارة الموردين",IMPLEMENTED_UNDER_OTHER_ROUTE,Suppliers/supplier_capacity.php,"التسميةُ «أداء الموردين وجاهزيتهم» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
supplier_plan.php,"خطة معدات المورد المتعهَّد بها",1,"إدارة الموردين",IMPLEMENTED_UNDER_OTHER_ROUTE,Suppliers/equipment_plan.php,"التسميةُ «خطة معدات المورد المتعهَّد بها» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
supplier_quota.php,"حصص الموردين من العقود",3,"المالية والخزينة · إدارة الموردين · إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Suppliers/shares_coverage.php,"التسميةُ «حصص الموردين من العقود» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
supplier_settle.php,"تسويات ومستحقات الموردين",3,"المالية والخزينة · إدارة الموردين · القوى التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Suppliers/settlements.php,"التسميةُ «تسويات ومستحقات الموردين» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
supplier_stmt.php,"كشف حساب المورد الشهري",2,"المالية والخزينة · إدارة الموردين",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/supplier_statement_fin.php,"التسميةُ «كشف حساب المورد الشهري» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
ticket_config.php,"إعدادات البلاغات — الأنواع والمهل والتصعيد",1,"مركز البلاغات",IMPLEMENTED_UNDER_OTHER_ROUTE,Tickets/ticket_types_config.php,"التسميةُ «إعدادات البلاغات — الأنواع والمهل والتصعيد» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
ticket_escalate.php,"مهل البلاغات وتصعيدها",1,"مركز البلاغات",IMPLEMENTED_UNDER_OTHER_ROUTE,Tickets/ticket_escalation_config.php,"التسميةُ «مهل البلاغات وتصعيدها» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
ticket_open.php,"أبلغ عن مشكلة من هذه الشاشة",12,"الحوكمة والالتزام · المالية والخزينة · الموارد البشرية · التمويل والملكية · إدارة الأسطول · إدارة الصيانة · إدارة المشتريات التشغيلية · إدارة المخازن · النقل والترحيل · القوى التشغيلية · مركز البلاغات · مساحة العمل الشخصية",IMPLEMENTED_UNDER_OTHER_ROUTE,Tickets/ticket_contextual_open.php,"التسميةُ «أبلغ عن مشكلة من هذه الشاشة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
ticket_periodic.php,"البلاغات الدورية المولَّدة",1,"مركز البلاغات",IMPLEMENTED_UNDER_OTHER_ROUTE,Tickets/ticket_recurrence.php,"التسميةُ «البلاغات الدورية المولَّدة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
ticket_recur.php,"البلاغات المتكررة وسببها الجذري",2,"إدارة الصيانة · مركز البلاغات",IMPLEMENTED_UNDER_OTHER_ROUTE,Tickets/ticket_recurrence.php,"التسميةُ «البلاغات المتكررة وسببها الجذري» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
ticket_route.php,"تصنيف البلاغ وتوجيهه آليًّا",1,"مركز البلاغات",IMPLEMENTED_UNDER_OTHER_ROUTE,Tickets/ticket_types_config.php,"التسميةُ «تصنيف البلاغ وتوجيهه آليًّا» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
ticket_split.php,"تحويل البلاغ وتفريعه لمسارات",2,"إدارة الصيانة · مركز البلاغات",IMPLEMENTED_UNDER_OTHER_ROUTE,Tickets/ticket_workstreams_board.php,"التسميةُ «تحويل البلاغ وتفريعه لمسارات» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
tickets.php,"بلاغات المركز",1,"مركز البلاغات",IMPLEMENTED_UNDER_OTHER_ROUTE,Tickets/tickets_list.php,"التسميةُ «بلاغات المركز» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
tickets_dept.php,"بلاغات إدارتي",12,"الحوكمة والالتزام · المالية والخزينة · الموارد البشرية · التمويل والملكية · إدارة الأسطول · إدارة التشغيل · إدارة الصيانة · إدارة المشتريات التشغيلية · إدارة المخازن · النقل والترحيل · القوى التشغيلية · مركز البلاغات",REQUIRED_AND_MISSING,Equipments/gov_dept_flt.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
training_mode.php,"وضع التدريب وسيناريوهاته",1,"الحوكمة والالتزام",REQUIRED_AND_MISSING,Portal/founding_mode.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
transfer_cost.php,"إقفال الأمر وتحميل تكلفته",2,"المالية والخزينة · النقل والترحيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Transport/transfer_close_cost.php,"التسميةُ «إقفال الأمر وتحميل تكلفته» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
transfer_ord.php,"أوامر الترحيل",3,"إدارة الأسطول · إدارة المخازن · النقل والترحيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Transport/transfer_orders_list.php,"التسميةُ «أوامر الترحيل» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
transfer_req.php,"طلبات الترحيل",5,"إدارة التشغيل · إدارة الصيانة · إدارة المخازن · النقل والترحيل · القوى التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Transport/transfer_requests.php,"التسميةُ «طلبات الترحيل» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
transfer_tariff.php,"تعرفة الترحيل وقواعد التحميل",1,"النقل والترحيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Transport/transfer_tariffs.php,"التسميةُ «تعرفة الترحيل وقواعد التحميل» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
transfer_track.php,"متابعة الرحلات في الطريق",1,"النقل والترحيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Transport/transfer_in_transit.php,"التسميةُ «متابعة الرحلات في الطريق» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
tre_bank_accounts.php,"سجل الحسابات البنكية والتوقيعات",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Suppliers/supplier_bank.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
tre_beneficiary.php,"المستفيدون والحسابات البنكية",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Suppliers/supplier_bank.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
tre_board.php,"لوحة الخزينة والبنوك",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/cfo_daily_board_fin.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
tre_cash_box.php,"الخزائن والصناديق",1,"المالية والخزينة",REQUIRED_AND_MISSING,Finance/cash_forecast_fin.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
tre_exec_log.php,"توثيق التنفيذ والإشعارات",1,"المالية والخزينة",REQUIRED_AND_MISSING,admin/audit_log.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
tre_liquidity.php,"السيولة والتدفق النقدي",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/cash_forecast_fin.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
tre_pay_batch.php,"دفعات الدفع والتنفيذ",1,"المالية والخزينة",REQUIRED_AND_MISSING,Finance/operator_pay_fin.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
tre_receipts.php,"سندات القبض والتحصيل",1,"المالية والخزينة",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
treasury.php,"الخزينة والصناديق",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/accounts_fin.php,"التسميةُ «الخزينة والصناديق» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
unit_assign.php,"إسناد المعدات للوحدات",2,"إدارة الأسطول · إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Operations/containers.php,"التسميةُ «إسناد المعدات للوحدات» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
unit_client_accept.php,"قبول العميل للفاتورة",2,"المبيعات والعقود · إدارة التشغيل",REQUIRED_AND_MISSING,Clients/client_profile.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
unit_client_invoice.php,"الفاتورة النهائية للعميل",2,"المبيعات والعقود · إدارة التشغيل",REQUIRED_AND_MISSING,Clients/client_profile.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
unit_correction.php,"تصحيح الوحدات بالسلسلة الثلاثية",1,"إدارة التشغيل",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
unit_daily_approve.php,"الاعتماد اليومي لرفع الوحدات",2,"إدارة التشغيل · إدارة الموقع",IMPLEMENTED_UNDER_OTHER_ROUTE,Approvals/hours_approval.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
unit_entry.php,"إدخال وحدات العمل اليومية",2,"إدارة التشغيل · إدارة الموقع",IMPLEMENTED_UNDER_OTHER_ROUTE,Reports/daily_units_report.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
unit_fin_final.php,"الاعتماد المالي النهائي",2,"المالية والخزينة · إدارة التشغيل",REQUIRED_AND_MISSING,Workforce/final_settlement.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
unit_fin_prelim.php,"الاعتماد المالي الأولي",2,"المالية والخزينة · إدارة التشغيل",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
unit_sales_gate.php,"بوابة مدير المبيعات",2,"المبيعات والعقود · إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Approvals/hours_approval.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
unit_statement_worker.php,"كشف التايم شيت — المشغّل",2,"إدارة التشغيل · القوى التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Timesheet/timesheet_type.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
unit_supplier_approve.php,"اعتماد وحدات الموردين",2,"إدارة الموردين · إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Approvals/hours_approval.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
unit_workforce_approve.php,"اعتماد وحدات المشغّلين",2,"إدارة التشغيل · القوى التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Approvals/hours_approval.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
units.php,"الوحدات التعاقدية المرقَّمة",2,"المبيعات والعقود · إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Operations/containers.php,"التسميةُ «الوحدات التعاقدية المرقَّمة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
variance.php,"متابعة انحراف المنفَّذ عن المخطط",2,"المالية والخزينة · إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/variance_monitor_fin.php,"التسميةُ «متابعة انحراف المنفَّذ عن المخطط» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
visibility.php,"من يرى ماذا ومكوّنات البوابة",3,"الحوكمة والالتزام · الموارد البشرية · التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,Portal/visibility_keys.php,"التسميةُ «من يرى ماذا ومكوّنات البوابة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
