النوع,المرجع,البيان,القيمة أ,القيمة ب,الفرق,الحكم
قالب↔ورقة,ME-G1,مساحة العمل الشخصية · G1,هدف 12,مزروع 0,-12,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,ME-G2,مساحة العمل الشخصية · G2,هدف 12,مزروع 0,-12,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,ME-G3,مساحة العمل الشخصية · G3,هدف 12,مزروع 0,-12,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,ME-G4,مساحة العمل الشخصية · G4,هدف 12,مزروع 0,-12,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,ME-G5,مساحة العمل الشخصية · G5,هدف 12,مزروع 0,-12,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,ME-G6,مساحة العمل الشخصية · G6,هدف 12,مزروع 0,-12,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,ME-G7,مساحة العمل الشخصية · G7,هدف 12,مزروع 0,-12,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,ME-G8,مساحة العمل الشخصية · G8,هدف 12,مزروع 0,-12,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,ME-G9,مساحة العمل الشخصية · G9,هدف 12,مزروع 0,-12,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CEO-G1,مكتب الرئيس التنفيذي والنواب · G1,هدف 12,مزروع 0,-12,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CEO-G2,مكتب الرئيس التنفيذي والنواب · G2,هدف 16,مزروع 0,-16,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CEO-G3,مكتب الرئيس التنفيذي والنواب · G3,هدف 24,مزروع 0,-24,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CEO-G4,مكتب الرئيس التنفيذي والنواب · G4,هدف 24,مزروع 0,-24,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CEO-G5,مكتب الرئيس التنفيذي والنواب · G5,هدف 27,مزروع 0,-27,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CEO-G6,مكتب الرئيس التنفيذي والنواب · G6,هدف 30,مزروع 0,-30,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CEO-G7,مكتب الرئيس التنفيذي والنواب · G7,هدف 30,مزروع 0,-30,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CEO-G8,مكتب الرئيس التنفيذي والنواب · G8,هدف 30,مزروع 0,-30,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CEO-G9,مكتب الرئيس التنفيذي والنواب · G9,هدف 30,مزروع 129,99,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔حي,CAP-G7,دور 26,قالب 58,حي 58,0,مطابق
قالب↔حي,CEO-G9,دور 9,قالب 129,حي 129,0,مطابق
قالب↔حي,CRP-G7,دور 24,قالب 55,حي 55,0,مطابق
قالب↔حي,FIN-G2,دور 22,قالب 98,حي 98,0,مطابق
قالب↔حي,FIN-G3,دور 18,قالب 104,حي 104,0,مطابق
قالب↔حي,FIN-G3,دور 21,قالب 4,حي 101,97,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,FIN-G3,دور 34,قالب 1,حي 11,10,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,FIN-G6,دور 31,قالب 30,حي 30,0,مطابق
قالب↔حي,FIN-G7,دور 17,قالب 25,حي 138,113,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,FIN-G7,دور 19,قالب 127,حي 127,0,مطابق
قالب↔حي,FIN-G8,دور 32,قالب 10,حي 15,5,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,FLT-G2,دور 11,قالب 96,حي 101,5,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,FLT-G4,دور 10,قالب 69,حي 69,0,مطابق
قالب↔حي,FLT-G7,دور 3,قالب 111,حي 116,5,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,GOV-G7,دور 15,قالب 165,حي 171,6,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,HRM-G7,دور 4,قالب 122,حي 128,6,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,IAF-G7,دور 33,قالب 64,حي 65,1,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,INV-G3,دور 25,قالب 49,حي 49,0,مطابق
قالب↔حي,MNT-G4,دور 14,قالب 66,حي 66,0,مطابق
قالب↔حي,MNT-G7,دور 13,قالب 71,حي 71,0,مطابق
قالب↔حي,OPS-G4,دور 7,قالب 98,حي 98,0,مطابق
قالب↔حي,OPS-G7,دور 1,قالب 149,حي 154,5,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,PRC-G7,دور 16,قالب 58,حي 58,0,مطابق
قالب↔حي,RSK-G3,دور 29,قالب 44,حي 44,0,مطابق
قالب↔حي,RSK-G4,دور 30,قالب 44,حي 44,0,مطابق
قالب↔حي,RSK-G7,دور 28,قالب 54,حي 55,1,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,SAL-G7,دور 12,قالب 142,حي 154,12,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,SIT-G7,دور 6,قالب 129,حي 135,6,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,SUP-G4,دور 8,قالب 110,حي 115,5,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,SUP-G7,دور 2,قالب 118,حي 124,6,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
قالب↔حي,TRP-G7,دور 23,قالب 59,حي 59,0,مطابق
قالب↔حي,WRK-G7,دور 27,قالب 64,حي 65,1,انجرافٌ بعد البذر — يُعاد البذرُ أو يُعتمد الفرق
مستخدم بلا قالب,#75,fin.reviewer@equipation.sd · المراجع والمدقق المالي (دور 20) · كيان 4,—,—,—,إسنادُه قرارُ تكوينٍ — لا يُخمَّن
